,sex,age,sex-age,credit,score_GaussianNB,score_LR,score_DecisionTree,score_RandomForest,score_MultiLayerPerceptron,score_Feldman-GaussianNB,score_Feldman-LR,score_Feldman-DecisionTree,score_Feldman-RandomForest,score_Feldman-MultiLayerPerceptron
635,male,adult,male-adult,1,0.5781999934096641,0.07891223828210792,0.0,0.23,0.013061060086450724,2.21312648021665e-09,0.0681274966771272,0.0,0.13,0.18905199314577545
93,male,youth,male-youth,1,0.6066404571105255,0.18700532699617667,1.0,0.35,0.014043991729837396,7.897671777536652e-10,0.17652316648293134,1.0,0.25,0.15225856920633998
308,female,youth,female-youth,0,0.25749910216464456,0.18203280835721325,0.0,0.18,0.032388326837829676,1.5665676345475912e-10,0.16607062793878757,0.0,0.19,0.24390093355751624
6,male,adult,male-adult,1,0.0002876064266339318,0.06015796924622662,0.0,0.11,0.009561381862587728,8.750006479176945e-14,0.0464860296309071,0.0,0.1,0.0705658654910739
765,male,adult,male-adult,1,0.00021709759487504852,0.18292209331681056,0.0,0.15,0.051450670158302125,6.159357103571313e-14,0.17043323253098944,0.0,0.11,0.24199007969702455
174,male,adult,male-adult,0,0.9986556305302751,0.7351228969562701,1.0,0.59,0.11626787641244893,3.9033430562613403e-07,0.6766699406690716,0.0,0.43,0.45726128112194364
157,male,adult,male-adult,1,0.8684145162159531,0.8348561605601569,0.0,0.72,0.40693389882432685,5.5700970369591e-10,0.8183677929971495,1.0,0.62,0.6522169089771358
384,male,adult,male-adult,1,0.07987119375409066,0.18886277923938957,0.0,0.28,0.026548169842330795,4.211760184689139e-11,0.1660711943693342,0.0,0.23,0.06436153650012907
179,male,adult,male-adult,1,0.18620734710628853,0.4132324639512732,0.0,0.39,0.21167904004711313,9.412802666012305e-11,0.32263216062671674,0.0,0.28,0.2651212506435894
693,male,adult,male-adult,1,0.026254733428144515,0.13844683020949175,0.0,0.13,0.0032336527512817717,1.3495286101295872e-11,0.12092583127532053,0.0,0.12,0.18037829682200013
930,male,youth,male-youth,1,1.6725622255580933e-13,0.6715671870140032,1.0,0.51,0.34442379590200933,3.4868274171808496e-06,0.7177585975324686,0.0,0.37,0.5494016640651179
7,male,adult,male-adult,1,0.1730534008035267,0.5247673181292926,0.0,0.49,0.0026750320040411497,5.5547667959454795e-11,0.5158883269080167,0.0,0.52,0.0904387220031477
768,male,adult,male-adult,1,0.06309072733769801,0.14569711815255393,1.0,0.36,0.005163754831946612,8.784893269146319e-11,0.14973219915594804,0.0,0.34,0.1300812852680686
231,male,adult,male-adult,1,0.004696779382545668,0.0788592027804686,0.0,0.05,0.004906734987081733,1.8116095027588512e-12,0.07315916666747227,0.0,0.05,0.19522974464140122
614,female,youth,female-youth,0,0.012114930690042512,0.1296792183155172,0.0,0.2,0.10954536640448043,5.558758899130892e-12,0.11544621041178744,0.0,0.14,0.1372685151149539
491,female,adult,female-adult,0,0.99999999276654,0.5489049714489749,1.0,0.62,0.00017741547392788947,0.3659084886227801,0.6214559869623941,1.0,0.63,0.1426131181275723
952,female,adult,female-adult,0,0.0013338105190019067,0.38798251807401524,0.0,0.34,0.006935292954371538,5.334807950675456e-13,0.43037762752264724,0.0,0.33,0.1350431657033948
772,male,adult,male-adult,1,2.5601746019839536e-05,0.0245055514821521,0.0,0.05,0.00810445895392768,7.293849277101584e-15,0.014518869858605385,0.0,0.04,0.04640555942541464
197,female,adult,female-adult,0,0.5763693768691286,0.43218467293994745,0.0,0.58,0.08004593838587386,3.6140814659280237e-09,0.42424497202815825,1.0,0.51,0.30607599697765814
193,male,adult,male-adult,1,0.005161168133155028,0.05342644463311643,0.0,0.01,0.018513056376503793,2.2525073318140127e-12,0.04519681319515642,0.0,0.01,0.16949702449962692
958,male,adult,male-adult,0,0.8567825351328462,0.7974166482045999,1.0,0.58,0.03782042897924838,2.561799826924188e-09,0.7930426473257791,0.0,0.41,0.33160160876661654
570,female,youth,female-youth,0,0.8865095110288318,0.5005066116716874,0.0,0.6,0.026063098376946363,4.159966577790936e-09,0.5673414131996061,0.0,0.48,0.22266449223863338
837,female,youth,female-youth,1,0.09231477116016797,0.052284128858488425,0.0,0.14,0.05870961582564388,4.5566723574251e-11,0.0465600752856546,0.0,0.15,0.20183345826998703
556,female,adult,female-adult,0,0.9999977498665962,0.6525456427137151,0.0,0.34,0.09379743047263045,0.0006122730544267635,0.6192179999119397,0.0,0.28,0.3524347593163819
437,female,adult,female-adult,1,1.114346397789891e-07,0.037254871806088066,0.0,0.02,0.046444060134834125,2.92205850440571e-17,0.028761540178588944,0.0,0.03,0.040571455116592874
620,male,adult,male-adult,1,0.15818653931594925,0.22178887091903127,1.0,0.34,0.01750874871798864,7.912094065070545e-11,0.16464613207932982,0.0,0.23,0.1587911805844737
920,female,adult,female-adult,1,0.025892482434072155,0.12521522140304384,0.0,0.04,0.07369169541023811,1.3278301695547148e-11,0.10670878529273559,0.0,0.06,0.16861155678133108
309,male,youth,male-youth,1,0.6840824368998086,0.4827013402577503,0.0,0.31,0.09280546366507016,9.962759245413361e-10,0.4615721169474427,0.0,0.32,0.3310846978558263
689,male,adult,male-adult,1,0.0001934258476448352,0.31080942818870955,1.0,0.41,0.008243784389296295,4.7889645517190045e-14,0.289313486342796,0.0,0.28,0.2446670799657569
87,male,adult,male-adult,0,0.9999867630054878,0.37747368502794093,0.0,0.47,7.632211281866103e-06,1.8624062639602327e-05,0.39224827036134097,0.0,0.38,0.11584286904596991
61,male,adult,male-adult,1,3.3485499591268485e-07,0.03316433496486287,0.0,0.11,0.027077161097685643,8.207121811131093e-17,0.022570865060154183,1.0,0.15,0.07303191807384432
389,female,adult,female-adult,1,0.027581144191068233,0.0954139987457283,0.0,0.09,0.026423142695159448,1.3829530215724278e-11,0.07383421089960684,0.0,0.05,0.1977882553153059
103,male,adult,male-adult,1,0.14714238146478859,0.25452265120104184,0.0,0.27,0.031696159634871754,7.805029067576745e-11,0.21874721891548987,0.0,0.27,0.2693107512576616
315,male,adult,male-adult,0,0.9999943529851584,0.8421657228825269,0.0,0.69,0.13904313328245949,0.00010604223112389128,0.8464222426036946,1.0,0.73,0.339524329010376
45,female,adult,female-adult,1,0.043235525083469395,0.15967606731915227,0.0,0.12,0.025197438120704078,2.207709901848011e-11,0.12263150565622542,0.0,0.11,0.16340617403442192
228,male,youth,male-youth,0,0.004797822145855184,0.092176647943319,0.0,0.02,0.03205058176519427,2.0610042010124875e-12,0.0669474654590528,0.0,0.01,0.23633597688429928
886,male,adult,male-adult,1,0.042061547707824096,0.12265476754878114,0.0,0.27,0.03656726392719688,1.793479632375733e-11,0.08032056704428285,0.0,0.19,0.17823677672446675
950,male,adult,male-adult,1,0.9249292020035133,0.2692928524489125,1.0,0.33,0.008129260054869726,1.9259151197907887e-08,0.2079831080079728,0.0,0.32,0.26467695427682647
126,male,adult,male-adult,1,0.2765019373681674,0.405856149593538,1.0,0.71,0.20575217140470173,1.725792550308666e-10,0.3636371468866907,0.0,0.53,0.42875574283951606
627,male,adult,male-adult,0,0.9996301234932868,0.35142751228254093,0.0,0.53,0.11070101985653713,2.066602447755124e-06,0.3133552042611133,1.0,0.39,0.4277491784303486
311,male,adult,male-adult,1,0.8299595797736481,0.34817565191813643,0.0,0.27,0.003594410234760589,1.9337637091050505e-09,0.2727701349187318,0.0,0.21,0.2595451540101314
687,male,adult,male-adult,1,0.9833240648992246,0.7502612532462303,1.0,0.37,0.18854935395959904,2.174859318674365e-08,0.7474487758009036,1.0,0.43,0.3152604484203727
352,male,adult,male-adult,1,5.3516553325242715e-05,0.012642375576427516,0.0,0.05,0.007713647911168876,1.7302025696525166e-14,0.007731596433256578,0.0,0.06,0.05367617086539065
332,female,youth,female-youth,0,0.9965829684971087,0.852442291517825,1.0,0.63,0.021303434292677136,1.8183306601202828e-07,0.8796804845382303,1.0,0.61,0.08615704731835949
27,female,adult,female-adult,1,0.003410310800401408,0.18395182539288515,0.0,0.55,0.17376875708763573,1.3367609669275089e-12,0.16730930369805153,1.0,0.39,0.16752309261239343
360,male,adult,male-adult,1,0.9866487875839729,0.31850570308994375,1.0,0.53,0.10590280516333671,3.846281520187877e-08,0.2633392688611745,0.0,0.42,0.422863841166044
34,female,adult,female-adult,1,0.27470428695500815,0.3545225954145183,0.0,0.22,0.08036495039433098,1.5714061106880386e-10,0.340143128024947,0.0,0.17,0.40263977079962376
907,male,adult,male-adult,1,0.8735854654742852,0.44349763146392374,0.0,0.34,0.10206458370515173,2.9740107578593242e-09,0.3926564982795428,1.0,0.38,0.17892848905225128
207,male,adult,male-adult,1,0.0005881665977818724,0.23284349152909614,0.0,0.3,0.07747668457877156,1.132920281119954e-13,0.19644648176418106,0.0,0.2,0.24894884692729358
282,male,adult,male-adult,1,0.7709363071821524,0.2086560838295289,0.0,0.38,0.0921030106388348,1.8479934551353527e-09,0.15291068876178773,1.0,0.29,0.24561026511951742
401,male,adult,male-adult,1,0.07067595534863684,0.20855718141536522,0.0,0.37,0.04199283336304417,3.3721551666227497e-11,0.1399440325497049,1.0,0.25,0.19890635784819305
528,male,adult,male-adult,0,0.9227854266502682,0.7720200278079266,1.0,0.83,0.1694439873629048,4.221459686238113e-09,0.7706448054797458,1.0,0.71,0.2880408094241565
434,male,adult,male-adult,1,0.48284627581739653,0.3629264254637097,0.0,0.16,0.04223926380219897,4.318041825864341e-10,0.3409593637076082,0.0,0.09,0.3858810266408828
128,male,adult,male-adult,1,0.008500625409437157,0.19451699493416874,0.0,0.42,0.04280544257526628,3.733859926365301e-12,0.14252100927756184,0.0,0.28,0.18357971716382146
50,male,adult,male-adult,1,0.7249757281362518,0.5541728024361444,0.0,0.47,0.18563429490626304,1.0418495768842539e-09,0.500314955723539,0.0,0.34,0.30919202130497075
598,male,adult,male-adult,0,0.012317139108651268,0.13111597665466287,0.0,0.2,0.030576955346608585,5.168210370293157e-12,0.09136862304768294,0.0,0.2,0.14704214283388267
646,male,adult,male-adult,1,0.9966950859427531,0.5264028402384969,0.0,0.4,0.03096956175959976,2.163126182620461e-07,0.5622950016913169,0.0,0.39,0.14951944409983303
577,female,adult,female-adult,1,0.010948258971956094,0.05720841706143313,0.0,0.11,0.10035477936795473,6.651236103996153e-12,0.04056702809138057,0.0,0.09,0.07354588843376846
267,female,adult,female-adult,1,0.8759176193183621,0.25107902558424394,0.0,0.19,0.05990455358240789,4.13781798852533e-09,0.21616707249524542,0.0,0.25,0.2848591126860019
48,male,adult,male-adult,1,0.009892517172872995,0.0731473686509059,0.0,0.17,9.515745038964426e-05,3.696901160399854e-12,0.058385655621054175,0.0,0.12,0.05187622187982562
762,male,youth,male-youth,1,0.4432538475353268,0.4564697085329913,0.0,0.49,0.03666124302993531,3.6084978169873626e-10,0.42490477058872145,0.0,0.4,0.37704601091199325
166,female,adult,female-adult,0,0.9583026328898212,0.6155423268083765,0.0,0.64,0.18740627629955378,1.1717174955186456e-08,0.6228086464792879,0.0,0.54,0.44730644061547753
715,male,adult,male-adult,1,5.145846116578705e-06,0.021862917346422272,0.0,0.11,0.0002920843260794156,1.7057031914962839e-15,0.018632149146790112,0.0,0.12,0.01315007915771426
985,female,adult,female-adult,1,0.639364395446153,0.5192322054910006,1.0,0.35,0.12467083101130412,9.080818852749569e-10,0.5408332100048604,1.0,0.36,0.25922189635022125
730,male,adult,male-adult,1,0.8754721954623822,0.5886822588970659,1.0,0.48,0.004236582003915594,2.3764988774665023e-09,0.5270030965259018,0.0,0.35,0.2665904008008393
573,female,youth,female-youth,1,0.8835547899050664,0.5199790478295024,1.0,0.61,0.09598804636259187,3.7251277786080465e-09,0.5258031557477235,1.0,0.57,0.35985296253085264
796,male,adult,male-adult,0,0.006272372691090782,0.08070806221566648,0.0,0.33,0.0001474674829974853,2.094262882825671e-12,0.07484500601257121,1.0,0.27,0.0770840771491016
265,male,adult,male-adult,0,0.3458451471669942,0.3557808646188636,1.0,0.46,0.09842245236788835,2.3185169097870202e-10,0.2760027300038724,1.0,0.34,0.38658073822896116
156,male,adult,male-adult,1,2.164386445581984e-19,0.07225625691534036,0.0,0.15,0.060743829015395,4.211040319168377e-12,0.08304207051543835,0.0,0.16,0.17771292518838133
876,male,adult,male-adult,1,0.9999999994733244,0.7333863894119527,0.0,0.58,0.09118831255773863,0.6758162717351031,0.7167464837225455,1.0,0.52,0.7191456682096361
481,male,adult,male-adult,1,0.8947075612554646,0.736061481458739,1.0,0.53,0.3312995609388739,3.4200953865179925e-09,0.6807557391508905,1.0,0.43,0.4624437127671649
857,male,adult,male-adult,1,0.11185677998016802,0.11213830985064208,0.0,0.12,0.01087253207789804,5.349116203158353e-11,0.08676875196901696,0.0,0.07,0.21904667401718558
667,female,adult,female-adult,1,0.9999963455237889,0.5431731513095518,1.0,0.39,0.22424849828897475,0.00035266567451130895,0.583887186101752,1.0,0.49,0.11745089992641397
13,male,adult,male-adult,0,0.3240059607919868,0.5824115452385599,1.0,0.37,0.17740753273953563,2.0278897049545905e-10,0.5212506320652543,1.0,0.24,0.27168371989347534
456,male,adult,male-adult,1,0.5354766537962528,0.5116758186801292,0.0,0.07,0.012302348527411598,5.79168397608206e-10,0.4879245573330005,0.0,0.12,0.27817295228908345
601,female,adult,female-adult,0,0.5554186673632393,0.4265793981647017,1.0,0.4,0.13462014148522639,5.743886995212502e-10,0.39215486701280927,0.0,0.31,0.39924621441115765
909,female,adult,female-adult,1,0.015135375869718522,0.1611720242077366,0.0,0.14,0.015301499656025683,7.109320728136626e-12,0.1414991363688719,0.0,0.18,0.1770430693361987
836,female,youth,female-youth,1,0.0009044342439468939,0.07236657943869612,0.0,0.06,0.0732831526428686,3.8197767153179434e-13,0.049887803680783174,0.0,0.06,0.1700918394454193
634,female,adult,female-adult,0,0.7440444455813386,0.49543785758309705,1.0,0.46,0.10916011836082676,1.429550429365017e-09,0.47918545981463145,1.0,0.53,0.26780654357355227
742,male,adult,male-adult,1,0.000399297449107221,0.037638381412320905,0.0,0.05,0.008033660764330082,1.3292493266469102e-13,0.02098264041576627,0.0,0.0,0.07844063294803708
177,male,adult,male-adult,1,0.0013588413010346481,0.19630895696850303,0.0,0.25,0.06671740898119821,5.569396595875186e-13,0.156251061312358,0.0,0.22,0.2947890849377011
201,male,adult,male-adult,1,0.5544165871103877,0.5429885583138805,1.0,0.85,0.08702517703601396,5.703348118390711e-10,0.5110376635441052,0.0,0.47,0.40322475283076814
244,female,adult,female-adult,1,8.307283077892845e-05,0.10647139967347533,1.0,0.31,0.0036963262296613136,5.9481595331630515e-15,0.08589862190766437,0.0,0.21,0.09754007611455595
233,male,adult,male-adult,1,0.00010082268559050622,0.2594217560495515,0.0,0.25,0.16551827890876927,2.300114515822962e-14,0.20250802861991338,0.0,0.23,0.2696606610307399
200,male,adult,male-adult,1,0.0013362308197814592,0.055228653582702444,0.0,0.13,0.04002994783674399,6.661379241556069e-13,0.03330280632852129,0.0,0.07,0.15860542352204635
134,female,youth,female-youth,1,0.09820187665293069,0.06408469282610807,0.0,0.21,0.00029921002179112793,1.3824967028483405e-10,0.07454701379669211,1.0,0.29,0.008477427540353102
499,male,adult,male-adult,1,0.0004706306692900025,0.06265180863588903,0.0,0.13,0.021885379112550035,1.961645487573446e-13,0.04390844204008572,0.0,0.16,0.15572459899616115
642,male,adult,male-adult,0,0.4024457739494516,0.08582455274764006,1.0,0.15,0.0030964558600939432,3.6339863821961636e-10,0.060972841313941685,0.0,0.12,0.1253485425850621
100,male,adult,male-adult,1,0.017459832485219245,0.15720985600045387,0.0,0.13,0.0682890244794431,6.535376838043439e-12,0.13030911602343348,0.0,0.12,0.11173597913872516
976,female,adult,female-adult,1,7.813395482246863e-05,0.11418874805190632,0.0,0.13,0.05198145724008608,1.979377790167222e-14,0.10240037897790286,1.0,0.15,0.23704379213720939
812,male,youth,male-youth,0,0.0167558917291507,0.31587708271700704,0.0,0.39,0.0001012468545287026,5.792288522826033e-12,0.31144111345954273,0.0,0.34,0.04724859088045013
175,female,adult,female-adult,0,0.8955188676726928,0.13894278707676486,0.0,0.24,0.0007892079390228571,1.2777178872816898e-08,0.14426951017484088,1.0,0.29,0.03811133344417516
114,male,adult,male-adult,1,0.0031738035440658295,0.27703565203516606,0.0,0.25,0.08200485209232136,1.186752138015467e-12,0.2376685773138281,0.0,0.18,0.36839825870306225
239,male,adult,male-adult,1,0.0006005866769104786,0.2735673805702494,0.0,0.39,0.08984277675633248,1.442468252358351e-13,0.29953219874734116,1.0,0.29,0.16100147469933482
630,female,adult,female-adult,1,0.5443939240543818,0.4739436936380128,0.0,0.63,0.018753864760706576,6.440363857378162e-10,0.500370519633828,1.0,0.43,0.22948474510408468
877,male,adult,male-adult,1,0.0338839377098862,0.2687415497506714,0.0,0.13,0.03636398897379002,1.1786664713529845e-11,0.221193079683878,0.0,0.12,0.12215837182064722
520,male,adult,male-adult,1,0.9862922292697476,0.12500018769962745,0.0,0.11,0.0017600294713172938,5.0668450518684316e-08,0.10716725975200933,0.0,0.19,0.11421400660889917
47,female,youth,female-youth,1,0.013867921073172826,0.17346272647250444,0.0,0.25,0.05339122101718009,5.790037499304877e-12,0.17751491558408003,0.0,0.28,0.2706527688129041
422,male,adult,male-adult,1,0.02298700477940166,0.13399601656507554,1.0,0.25,0.12467472291988191,1.122057160407932e-11,0.10326701542664131,0.0,0.17,0.18749767694402533
902,male,adult,male-adult,1,0.0015194698672954185,0.039993256439170684,0.0,0.19,3.018900087600975e-05,3.073304775527149e-13,0.03924411831097669,0.0,0.21,0.017854790186453598
999,male,adult,male-adult,1,0.016944061191167738,0.314241692522993,0.0,0.3,0.050516167755078084,3.784741725220648e-12,0.27681513406413627,0.0,0.34,0.06864907796632318
447,male,adult,male-adult,1,7.576446990013484e-05,0.15099833843557653,0.0,0.1,0.01401647073784312,1.9284746744372288e-14,0.1384210853683742,0.0,0.13,0.23363403918933315
820,male,adult,male-adult,1,0.009014145690187412,0.08616000158124765,0.0,0.08,0.040823928898907666,4.328811675413683e-12,0.057853842876556164,0.0,0.01,0.13969383871734434
922,female,youth,female-youth,0,0.9173127770839691,0.5000878567196579,0.0,0.28,0.05722954922685712,5.232079389480457e-09,0.5253362059596394,0.0,0.42,0.4354594156006605
834,female,adult,female-adult,0,0.005146709102045533,0.13841893039953393,0.0,0.21,0.037046679763651384,2.0832909598194835e-12,0.1364569891016384,1.0,0.23,0.21141739872040194
658,female,adult,female-adult,1,0.9999995451280914,0.7775092387480194,1.0,0.49,0.05612261612445926,0.003845390996255703,0.7772578463355628,1.0,0.55,0.2539337669520473
846,male,adult,male-adult,0,0.01755216169946112,0.13671348905475741,0.0,0.28,0.00018589665022016277,5.4072598409495096e-12,0.09692272553260091,0.0,0.25,0.06617797654376253
136,male,adult,male-adult,1,2.2633768716261786e-07,0.11363766179634413,0.0,0.2,0.0001796683940971949,5.163616877858339e-17,0.09990485358741932,0.0,0.26,0.027146504971457222
219,female,adult,female-adult,1,0.02177868894347358,0.0922263047704682,0.0,0.03,0.014568114902242147,9.824839176836366e-12,0.06923537568449264,0.0,0.06,0.14882091100646203
168,female,adult,female-adult,1,0.02602529852431881,0.06287295752613221,0.0,0.16,0.004964685507918459,1.4149942681791693e-11,0.07197653363330846,0.0,0.12,0.04870228450753301
661,male,youth,male-youth,0,0.202993780141372,0.5374704249485036,1.0,0.75,0.1482503308664241,1.1322186430799215e-10,0.4692997631739039,0.0,0.51,0.43593626883787945
333,female,youth,female-youth,0,0.05937911038866024,0.22795989035787623,0.0,0.33,4.628412939217089e-05,2.5951383156247936e-10,0.3294303374209597,0.0,0.39,0.009855187017627727
984,male,adult,male-adult,1,0.0012795271532068154,0.04773586794492475,0.0,0.13,0.12234148763124882,5.030290382874038e-13,0.03460713846145415,0.0,0.07,0.07189068993735108
355,male,youth,male-youth,0,0.9976660597049188,0.7522255474460371,1.0,0.54,0.23968315085413286,2.1205348371153722e-07,0.7056556311669038,1.0,0.56,0.5510562585420656
11,female,youth,female-youth,0,0.9988964511528783,0.8529447453278203,1.0,0.72,0.07592878354570338,6.547460478577464e-07,0.9102115625001407,1.0,0.61,0.16861385274715615
97,male,adult,male-adult,1,0.5688789002413186,0.41962202617534866,0.0,0.38,0.018898978353169123,5.433447456900395e-10,0.3246190977719473,0.0,0.31,0.3173995647224762
590,female,adult,female-adult,1,0.0007718857445643138,0.08947772391392342,0.0,0.28,0.17975767168918283,1.871033672532133e-12,0.07087140803665214,0.0,0.25,0.14512682332077537
450,male,adult,male-adult,1,0.00033778757213433,0.08033326408171697,1.0,0.21,2.312328819538462e-05,3.7215032418877015e-14,0.05637537895046691,0.0,0.26,0.018163962217976736
424,female,adult,female-adult,0,0.07580643261143154,0.11933587630689552,1.0,0.15,0.02136779990704986,3.841875827626299e-11,0.11152660095495125,0.0,0.27,0.18862324038693454
732,female,adult,female-adult,1,2.582207414577474e-05,0.13011664046870716,0.0,0.11,0.08526984630507742,6.395045562922441e-15,0.12039169179241632,0.0,0.11,0.26056813728326134
399,female,adult,female-adult,1,6.355554481244576e-08,0.05676805766514706,0.0,0.07,0.20005981613116955,1.6479501713342653e-17,0.0435273831140295,0.0,0.03,0.06987258635081207
859,male,adult,male-adult,1,3.1866868979506866e-22,0.05172844802785004,1.0,0.06,0.005269362730229598,2.911258851733611e-15,0.06093643043932097,0.0,0.07,0.10755556986991245
964,male,youth,male-youth,1,0.9990808292321587,0.4415137514378378,0.0,0.38,0.25811564869647663,1.000040107159102e-06,0.40256987360171803,0.0,0.41,0.518032105962609
364,male,adult,male-adult,0,0.9950355009078025,0.6874644704424057,0.0,0.5,0.09047606771768943,1.0592925806610496e-07,0.6331636693845947,0.0,0.35,0.5695486919282743
912,female,adult,female-adult,1,0.022656411140397913,0.18922319040939253,0.0,0.14,0.04282434456432556,1.1527551472794689e-11,0.18893140905366773,0.0,0.22,0.10290129569543771
682,male,adult,male-adult,1,0.057845088643820895,0.17182989871027754,0.0,0.14,0.052207535837683866,2.9061192078487095e-11,0.12330962359336098,0.0,0.18,0.1777131427296159
867,male,adult,male-adult,1,0.38481614203161096,0.07883596833206918,0.0,0.21,0.003886338099445867,3.261478234582524e-10,0.06620546368329261,0.0,0.19,0.14675421224333354
183,male,adult,male-adult,1,1.4530789903804236e-07,0.029202469722694045,0.0,0.06,0.005277083723860042,2.8789226078309914e-17,0.019412123681946794,0.0,0.06,0.04105460214784526
14,female,adult,female-adult,1,0.9279185275166455,0.6912579006808295,1.0,0.64,0.07715333200781845,6.185197208259184e-09,0.7131051447182134,1.0,0.5,0.3801045843726049
398,male,adult,male-adult,0,0.48982782749492554,0.4221357895033121,1.0,0.4,0.14845930448650801,4.850611240356394e-10,0.39407662812164707,0.0,0.46,0.30615057937494977
471,female,youth,female-youth,0,0.9974376330346348,0.4935178857285723,1.0,0.52,0.09789884426213803,2.3114358512003007e-07,0.48405819247574583,1.0,0.58,0.5578947311425656
516,male,adult,male-adult,1,1.8008549837405e-17,0.23144200415468502,0.0,0.1,0.06554364654333777,3.026477207723458e-10,0.25737331045008127,0.0,0.13,0.37027854023566886
773,male,adult,male-adult,1,0.0033301802700071493,0.07705221700702275,0.0,0.17,0.04031784538322381,1.3323781714715169e-12,0.05328921388182269,0.0,0.15,0.09845837596859766
895,male,adult,male-adult,1,0.046025110789212724,0.11634884186033541,0.0,0.23,0.00020753715305238364,1.4718304239163175e-11,0.09023885650680225,0.0,0.21,0.03832352309582123
337,female,youth,female-youth,0,0.005853751177344646,0.5795527294712315,1.0,0.6,0.1673532316478028,1.1876460051310488e-12,0.5759522190753622,1.0,0.54,0.3727601983631707
733,female,adult,female-adult,1,3.308457640701476e-08,0.046741152508370326,0.0,0.1,0.01570666693626366,7.054625124494703e-18,0.04535944412567274,0.0,0.13,0.03972534546286334
724,female,youth,female-youth,0,0.10986125652347767,0.28777347451692586,0.0,0.16,0.03854870894136895,6.072245383640139e-11,0.30173794130892545,0.0,0.12,0.10176780690099199
530,male,adult,male-adult,1,0.977789830914757,0.5464368952846163,1.0,0.52,0.35655983672607033,2.0623017732577833e-08,0.48541872807753433,1.0,0.52,0.28117376610607664
550,female,youth,female-youth,1,0.01223615210795881,0.014751575129046067,0.0,0.14,0.04837897391071555,1.0569645273312469e-11,0.0105736731515593,0.0,0.1,0.05667063606825942
698,male,youth,male-youth,1,0.0028596918055427984,0.13130929341198852,0.0,0.01,0.06427540078247598,1.1940942325715653e-12,0.07451856319288662,0.0,0.01,0.16629781645623903
230,male,adult,male-adult,0,0.026825596350173557,0.5201431577000878,0.0,0.17,0.03316428885305765,8.348109188510091e-12,0.4791378171679833,0.0,0.1,0.1855895259706352
325,male,adult,male-adult,1,7.86767903875143e-19,0.11881124890907997,0.0,0.06,0.010606640847272253,1.326540824756244e-11,0.13946122586494217,0.0,0.07,0.17204987066809974
